id,nome,localidade,frequencia
358,nascimento,24,137800
359,nascimento,14,12875
360,nascimento,43,54700
361,nascimento,42,49290
362,nascimento,28,68447
363,nascimento,35,553220
364,nascimento,17,21314
365,araujo,0,3460940
366,araujo,12,32799
367,araujo,27,66769
368,araujo,13,90298
369,araujo,16,13183
370,araujo,29,316886
371,araujo,23,265034
372,araujo,53,73136
373,araujo,32,40121
374,araujo,52,141798
375,araujo,21,224550
376,araujo,31,289011
377,araujo,50,34774
378,araujo,51,52112
379,araujo,15,163792
380,araujo,25,148972
381,araujo,26,200803
382,araujo,22,138757
383,araujo,41,80369
384,araujo,33,231868
385,araujo,11,24858
386,araujo,24,119298
387,araujo,14,14834
388,araujo,43,52538
389,araujo,42,32842
390,araujo,28,37298
391,araujo,35,526934
392,araujo,17,47306
393,ribeiro,0,3127425
394,ribeiro,12,8190
395,ribeiro,27,15814
396,ribeiro,13,56768
397,ribeiro,16,8432
398,ribeiro,29,256984
399,ribeiro,23,116052
400,ribeiro,53,55902
401,ribeiro,32,69532
402,ribeiro,52,149666
403,ribeiro,21,138753
404,ribeiro,31,422607
405,ribeiro,50,39799
406,ribeiro,51,56862
407,ribeiro,15,139185
408,ribeiro,25,38725
409,ribeiro,26,67055
410,ribeiro,22,72952
411,ribeiro,41,186953
412,ribeiro,33,269550
413,ribeiro,11,23846
414,ribeiro,24,29276
415,ribeiro,14,8636
416,ribeiro,43,116180
417,ribeiro,42,90202
418,ribeiro,28,22392
419,ribeiro,35,618403
420,ribeiro,17,48709
421,almeida,0,3069183
422,almeida,12,14441
423,almeida,27,37368
424,almeida,13,67787
425,almeida,16,18800
426,almeida,29,379352
427,almeida,23,128122
428,almeida,53,45877
429,almeida,32,68616
430,almeida,52,105238
431,almeida,21,112278
432,almeida,31,358634
433,almeida,50,38913
434,almeida,51,77453
435,almeida,15,133694
436,almeida,25,57050
437,almeida,26,93713
438,almeida,22,32655
439,almeida,41,129743
440,almeida,33,250091
441,almeida,11,25873
442,almeida,24,31178
443,almeida,14,11090
444,almeida,43,99980
445,almeida,42,48125
446,almeida,28,41214
447,almeida,35,638597
448,almeida,17,23301
449,jesus,0,2859490
450,jesus,12,2966
451,jesus,27,10886
452,jesus,13,15075
453,jesus,16,5765
454,jesus,29,1077272
455,jesus,23,18119
456,jesus,53,35028
457,jesus,32,71494
458,jesus,52,115711
459,jesus,21,93183
460,jesus,31,284671
461,jesus,50,21392
462,jesus,51,40482
463,jesus,15,82439
464,jesus,25,6160
465,jesus,26,24687
466,jesus,22,29682
467,jesus,41,78255
468,jesus,33,122659
469,jesus,11,18046
470,jesus,24,4316
471,jesus,14,3990
472,jesus,43,28671
473,jesus,42,44203
474,jesus,28,141588
475,jesus,35,470052
476,jesus,17,12698
477,barbosa,0,2738119
478,barbosa,12,11536
479,barbosa,27,61651
480,barbosa,13,57412
481,barbosa,16,18595
482,barbosa,29,236636
483,barbosa,23,135047
484,barbosa,53,43478
485,barbosa,32,53481
486,barbosa,52,113119
487,barbosa,21,87880
488,barbosa,31,319741
489,barbosa,50,41887
490,barbosa,51,42557
491,barbosa,15,131553
492,barbosa,25,94304
493,barbosa,26,183827
494,barbosa,22,49897
495,barbosa,41,99790
496,barbosa,33,206349
497,barbosa,11,20178
498,barbosa,24,53909
499,barbosa,14,7876
500,barbosa,43,61480
501,barbosa,42,36137
502,barbosa,28,26110
503,barbosa,35,509863
504,barbosa,17,33826
505,soares,0,2615284
506,soares,12,7874
507,soares,27,45765
508,soares,13,53421
509,soares,16,8232
510,soares,29,153090
511,soares,23,125945
512,soares,53,44062
513,soares,32,49894
514,soares,52,102848
515,soares,21,105871
516,soares,31,379498
517,soares,50,33131
518,soares,51,43697
519,soares,15,109527
520,soares,25,82672
521,soares,26,113244
522,soares,22,70800
523,soares,41,96528
524,soares,33,220083
525,soares,11,22171
526,soares,24,58959
527,soares,14,6782
528,soares,43,135044
529,soares,42,51955
530,soares,28,22475
531,soares,35,442331
532,soares,17,29385
533,carvalho,0,2599978
534,carvalho,12,7187
535,carvalho,27,16614
536,carvalho,13,54051
537,carvalho,16,10053
538,carvalho,29,239646
539,carvalho,23,84540
540,carvalho,53,53234
541,carvalho,32,37800
542,carvalho,52,102691
543,carvalho,21,148473
544,carvalho,31,313516
545,carvalho,50,26874
546,carvalho,51,41639
547,carvalho,15,116537
548,carvalho,25,29130
549,carvalho,26,85900
550,carvalho,22,146358
551,carvalho,41,96031
552,carvalho,33,257295
553,carvalho,11,18298
554,carvalho,24,30702
555,carvalho,14,7175
556,carvalho,43,85583
557,carvalho,42,44806
558,carvalho,28,28884
559,carvalho,35,482336
560,carvalho,17,34625
561,martins,0,2576764
562,martins,12,9311
563,martins,27,17665
564,martins,13,50283
565,martins,16,8761
566,martins,29,84468
567,martins,23,129418
568,martins,53,39985
569,martins,32,53055
570,martins,52,131061
571,martins,21,100999
572,martins,31,415403
573,martins,50,47341
574,martins,51,49193
575,martins,15,101475
576,martins,25,42489
577,martins,26,60593
578,martins,22,34364
579,martins,41,141786
580,martins,33,214778
581,martins,11,20207
582,martins,24,29480
583,martins,14,4886
584,martins,43,137280
585,martins,42,90444
586,martins,28,12313
587,martins,35,520047
588,martins,17,29679
589,lopes,0,2337914
590,lopes,12,10800
591,lopes,27,26674
592,lopes,13,60604
593,lopes,16,7522
594,lopes,29,141092
595,lopes,23,123364
596,lopes,53,40856
597,lopes,32,42261
598,lopes,52,92535
599,lopes,21,102006
600,lopes,31,310281
601,lopes,50,41851
602,lopes,51,38656
603,lopes,15,119523
604,lopes,25,36658
605,lopes,26,82735
606,lopes,22,55142
607,lopes,41,105509
608,lopes,33,173987
609,lopes,11,21162
610,lopes,24,40807
611,lopes,14,6427
612,lopes,43,118296
613,lopes,42,44333
614,lopes,28,5842
615,lopes,35,458975
616,lopes,17,30016
617,vieira,0,2102389
618,vieira,12,6271
619,vieira,27,45068
620,vieira,13,39135
621,vieira,16,3938
622,vieira,29,119646
623,vieira,23,114244
624,vieira,53,35430
625,vieira,32,54046
626,vieira,52,104832
627,vieira,21,79452
628,vieira,31,273484
629,vieira,50,27842
630,vieira,51,34713
631,vieira,15,69911
632,vieira,25,43415
633,vieira,26,68491
634,vieira,22,53562
635,vieira,41,92073
636,vieira,33,167866
637,vieira,11,17800
638,vieira,24,18562
639,vieira,14,5801
640,vieira,43,88099
641,vieira,42,77347
642,vieira,28,39465
643,vieira,35,402838
644,vieira,17,19058
645,rocha,0,2044495
646,rocha,12,12082
647,rocha,27,37881
648,rocha,13,40269
649,rocha,16,7192
650,rocha,29,206242
651,rocha,23,102710
652,rocha,53,38492
653,rocha,32,48327
654,rocha,52,75858
655,rocha,21,94082
656,rocha,31,263722
657,rocha,50,27550
658,rocha,51,30194
659,rocha,15,77724
660,rocha,25,22961
661,rocha,26,52963
662,rocha,22,61637
663,rocha,41,91315
664,rocha,33,160851
665,rocha,11,16509
666,rocha,24,41223
