302373,1913,202,1618,96,2973,206,738,1046,1939,3123,1939,950,3481,495,327,7392,44492,3492,27486,70007,36841,33384,36922,6313,5065,6359,3574,antunes
298204,1964,2050,23856,1008,20539,1019,7547,20730,3022,12496,9025,15120,18779,5445,1846,18214,21661,4127,38503,37820,6882,3434,3759,2127,3488,9351,4392,marinho
297570,2342,739,8593,629,9220,1656,1886,8874,4080,17315,4931,3588,13639,3826,3459,18405,33662,7602,35459,42674,10895,11406,30011,3520,3529,10122,5508,lemos
297024,2485,752,10003,614,13224,3954,3316,3758,3548,10859,7883,17501,16462,5442,2008,22364,33748,4150,27313,56242,10037,6236,13107,2579,3507,8669,7263,guedes
293972,2971,4275,10325,1882,19011,1385,6577,26928,18633,40225,3456,9276,24297,11139,12695,11180,4864,1514,9928,41888,4532,1518,581,3143,5015,10677,6057,feitosa
293382,5080,2367,6508,842,20874,1806,4723,17963,7797,15086,6154,8228,14005,5090,3258,28736,32755,5947,13420,35611,11512,6591,7810,3548,9426,15020,3225,perreira
293042,2132,2964,8928,633,8249,567,1911,9507,4019,33773,19233,14116,23649,4935,6406,22966,19347,5664,24379,46830,7357,1884,3524,2390,2712,9012,5955,freire
291611,2564,764,3304,356,2641,105,1505,2028,1131,15247,6769,12039,14423,6305,825,5418,46719,6547,24824,74384,17124,10257,6094,5442,5440,16430,2926,candido
290743,2307,456,1833,569,3229,210,1349,993,1115,3296,3962,5816,14182,2781,972,6728,50821,5736,35796,74733,21796,17895,10234,3616,5480,11834,3004,luiz
289882,1680,916,8806,655,11660,1527,1448,14048,3789,12176,1463,1761,4738,2091,2401,43659,23876,7411,46385,43966,9746,6188,16243,2131,3909,12411,4798,bastos
289158,1915,622,1227,280,4455,279,772,4737,3037,7456,4067,5012,8079,2010,1042,4113,68518,3122,19226,68364,33617,11207,12396,3075,4631,12268,3631,fatima
287753,1835,71,574,137,984,131,1051,638,799,311,154,106,394,143,86,1062,20772,1873,7440,119554,54417,14428,32018,3924,5942,16782,2127,bueno
287400,2964,931,2574,625,6799,615,990,5170,2958,5272,4707,6119,28364,5580,2456,13075,42641,11955,27113,62058,16377,6441,4151,3696,7723,13154,2892,vitoria
287265,2082,590,2934,645,2967,309,931,2190,1459,4259,238,538,2540,626,3341,14228,32403,2666,12679,114946,28587,11446,14656,5561,7609,13353,3482,prado
286672,2354,1928,7919,991,15528,1052,2117,7078,5871,21623,6221,4610,13431,2547,3622,37809,32198,5209,25216,48389,8966,4712,6796,2690,4287,9034,4474,santiago
276583,1596,3736,11818,1385,13576,1286,1306,6907,4046,30703,6121,15014,51714,13227,2268,5738,6726,1344,24849,39940,6359,4257,5937,4297,3032,3859,5542,albuquerque
274842,1254,1212,8639,798,14173,1822,1020,5023,2262,7167,4409,11574,8167,1481,2824,19112,42802,4062,36476,51226,9047,6052,10832,5256,8892,4707,4553,figueiredo
274220,2599,741,3441,1090,5573,488,871,4766,2861,8219,6876,6840,19578,4482,1944,8118,40676,3480,19706,68528,20069,9884,6157,4029,7048,12387,3769,gabriel
272539,1937,351,8547,834,39764,5225,1073,11772,3185,1668,4868,2775,4599,1871,3244,28314,24279,3364,17893,41225,11986,7660,28670,3605,4058,6367,3405,trindade
271997,1644,2117,10928,790,11787,1548,2294,15314,6081,13933,1477,2969,7568,5952,1617,34602,30981,8272,24173,43514,6521,2870,8855,4325,4876,10451,6538,brandao
271379,1760,989,4245,646,5614,265,2552,7206,1074,15585,4228,8776,30907,1169,231,6238,18931,2701,16139,58589,11187,6304,6924,13876,32724,9250,3269,arruda
267765,1661,931,3283,726,10450,644,1513,37248,2075,8967,6216,18961,11697,1122,1261,3572,47748,2598,23056,47180,9287,2311,5475,3764,2383,8658,4978,diniz
265114,1609,443,6093,788,14568,3254,1681,13469,3015,4158,2016,1432,5058,2031,1211,12843,30443,4841,35860,39706,16223,17203,29228,2817,3512,8101,3511,pacheco
264859,2003,781,6890,1412,11268,300,1353,6543,2445,5261,2271,2791,2494,439,1251,9321,35024,3392,18093,78642,21313,7130,16314,9935,4320,10467,3406,franco
261654,3215,806,5623,405,12228,1967,1225,9220,7329,6895,634,1304,5269,1686,8797,36895,26904,9436,21123,43132,10986,13459,14359,1553,3155,9464,4585,passos
260301,1311,1734,12559,1500,15664,408,3361,10369,8329,15221,10426,20057,53377,11482,1237,6425,4193,2937,15765,40013,4178,2099,2516,1762,3177,5696,4505,lira
257262,2465,803,5643,487,7011,722,805,18829,1474,5868,2285,4307,3571,263,418,7268,41566,7349,28128,31221,11734,11705,38926,5174,4096,11157,3987,dutra
253518,2356,587,2306,955,4763,283,1195,1742,1276,9870,3001,5215,8697,4545,1995,9916,44487,7906,23882,60622,15184,8749,8746,3316,3862,13997,4065,caetano
249410,1840,988,4869,618,25122,2508,1702,9381,3452,7485,1497,1532,9695,2060,6973,58412,23791,4937,19232,37304,6232,2005,3138,1793,3376,6696,2772,paixao
241054,2077,3923,8952,1498,12600,687,5922,15952,15680,34728,2900,5576,21841,4169,967,9935,7546,1337,10117,38387,5758,2333,1792,5178,5030,9770,6399,alencar
